Timestamp,NTU,pH
"2024-11-25 20:14:46",69.1,7.05
"2024-11-25 20:14:46",68.6,7.15
"2024-11-25 20:14:47",71.4,7.05
"2024-11-25 20:14:49",75.5,7.02
"2024-11-25 20:14:50",76.9,7.02
"2024-11-25 20:14:52",76.9,7.05
"2024-11-25 20:14:54",76.9,7.05
"2024-11-25 20:14:56",85.3,6.77
"2024-11-25 20:14:57",93.7,6.58
"2024-11-25 20:14:59",50.4,7.79
"2024-11-25 20:15:01",62.1,7.18
"2024-11-25 20:15:03",61.6,7.21
"2024-11-25 20:15:04",69.1,7.12
"2024-11-25 20:15:06",69.1,7.05
"2024-11-25 20:15:08",69.1,7.09
"2024-11-25 20:15:10",68.6,7.09
"2024-11-25 20:15:11",68.6,7.12
"2024-11-25 20:15:13",68.6,7.15
"2024-11-25 20:15:15",68.6,7.15
"2024-11-25 20:15:16",68.6,7.18
"2024-11-25 20:15:18",68.6,7.12
"2024-11-25 20:15:20",69.1,7.09
"2024-11-25 20:15:22",69.1,7.09
"2024-11-25 20:15:23",69.1,7.12
"2024-11-25 20:15:25",69.1,7.12
"2024-11-25 20:15:27",69.1,7.12
"2024-11-25 20:15:29",71.4,7.12
"2024-11-25 20:15:30",71.4,7.09
"2024-11-25 20:15:32",71.4,7.12
"2024-11-25 20:15:34",74.2,7.12
"2024-11-25 20:15:36",71.4,7.18
"2024-11-25 20:15:37",69.1,7.09
"2024-11-25 20:15:39",68.6,7.21
"2024-11-25 20:15:41",68.6,7.21
"2024-11-25 20:15:43",67.2,7.15
"2024-11-25 20:15:44",67.2,7.21
"2024-11-25 20:15:46",67.2,7.21
"2024-11-25 20:15:48",65.8,7.18
"2024-11-25 20:15:50",68.6,7.15
"2024-11-25 20:15:51",69.1,7.12
"2024-11-25 20:15:53",69.1,7.15
"2024-11-25 20:15:55",69.1,7.12
"2024-11-25 20:15:57",71.4,7.12
"2024-11-25 20:15:58",69.1,7.15
"2024-11-25 20:16:00",69.1,7.12
"2024-11-25 20:16:02",69.1,7.09
"2024-11-25 20:16:04",69.1,7.12
"2024-11-25 20:16:05",71.4,7.12
"2024-11-25 20:16:07",69.1,7.18
"2024-11-25 20:16:09",69.1,7.12
"2024-11-25 20:16:11",69.1,7.18
"2024-11-25 20:16:12",71.4,7.12
"2024-11-25 20:16:14",68.6,7.15
"2024-11-25 20:16:16",69.1,7.18
"2024-11-25 20:16:18",69.1,7.15
"2024-11-25 20:16:19",69.1,7.18
"2024-11-25 20:16:21",71.4,7.12
"2024-11-25 20:16:23",72.8,7.09
"2024-11-25 20:16:25",71.4,7.15
"2024-11-25 20:16:26",69.1,7.12
"2024-11-25 20:16:28",69.1,7.12
"2024-11-25 20:16:30",69.1,7.15
"2024-11-25 20:16:32",69.1,7.21
"2024-11-25 20:16:33",69.1,7.21
"2024-11-25 20:16:35",69.1,7.12
"2024-11-25 20:16:37",67.2,7.25
"2024-11-25 20:16:38",68.6,7.18
"2024-11-25 20:16:40",69.1,7.15
"2024-11-25 20:16:42",68.6,7.15
"2024-11-25 20:16:44",69.1,7.15
"2024-11-25 20:16:45",67.2,7.18
"2024-11-25 20:16:47",67.2,7.18
"2024-11-25 20:16:49",67.2,7.15
"2024-11-25 20:16:51",65.8,7.28
"2024-11-25 20:16:52",69.1,7.05
"2024-11-25 20:16:54",68.6,7.18
"2024-11-25 20:16:56",72.8,7.05
"2024-11-25 20:16:58",67.2,7.18
"2024-11-25 20:16:59",68.6,7.18
"2024-11-25 20:17:01",65.8,7.25
"2024-11-25 20:17:03",68.6,7.18
"2024-11-25 20:17:05",64.4,7.21
"2024-11-25 20:17:06",65.8,7.18
"2024-11-25 20:17:08",64.4,7.21
"2024-11-25 20:17:10",65.8,7.21
"2024-11-25 20:17:12",64.4,7.25
"2024-11-25 20:17:13",65.8,7.18
"2024-11-25 20:17:15",64.4,7.21
"2024-11-25 20:17:17",65.8,7.25
"2024-11-25 20:17:19",67.2,7.15
"2024-11-25 20:17:20",65.8,7.28
"2024-11-25 20:17:22",65.8,7.21
"2024-11-25 20:17:24",67.2,7.15
"2024-11-25 20:17:26",64.4,7.25
"2024-11-25 20:17:27",64.4,7.21
"2024-11-25 20:17:29",69.1,7.02
"2024-11-25 20:17:31",65.8,7.21
"2024-11-25 20:17:33",67.2,7.15
"2024-11-25 20:17:34",67.2,7.21
"2024-11-25 20:17:36",72.8,7.05
"2024-11-25 20:17:38",72.8,6.95
"2024-11-25 20:17:40",68.6,7.15
"2024-11-25 20:17:41",65.8,7.21
"2024-11-25 20:17:43",69.1,7.09
"2024-11-25 20:17:45",67.2,7.28
"2024-11-25 20:17:47",68.6,7.18
"2024-11-25 20:17:48",68.6,7.15
"2024-11-25 20:17:50",72.8,7.09
"2024-11-25 20:17:52",69.1,7.02
"2024-11-25 20:17:54",71.4,7.02
"2024-11-25 20:17:55",67.2,7.25
"2024-11-25 20:17:57",65.8,7.28
"2024-11-25 20:17:59",65.8,7.21
"2024-11-25 20:18:00",67.2,7.21
"2024-11-25 20:18:02",71.4,7.02
"2024-11-25 20:18:04",71.4,7.09
"2024-11-25 20:18:06",72.8,7.02
"2024-11-25 20:18:07",71.4,7.21
"2024-11-25 20:18:09",75.5,7.09
"2024-11-25 20:18:11",74.2,7.05
"2024-11-25 20:18:13",51.8,7.5
"2024-11-25 20:18:14",51.8,7.53
"2024-11-25 20:18:16",51.8,7.44
"2024-11-25 20:18:18",50.4,7.41
"2024-11-25 20:18:20",51.8,7.37
"2024-11-25 21:44:43",0,8.94
"2024-11-25 21:44:43",0,8.71
"2024-11-25 21:44:43",0,8.52
"2024-11-25 21:44:43",0,8.39
"2024-11-25 21:44:44",0,8.3
"2024-11-25 21:44:44",0,8.27
"2024-11-25 21:44:44",0,8.11
"2024-11-25 21:44:44",0,8.07
"2024-11-25 21:44:44",0,7.98
"2024-11-25 21:44:45",0,7.79
"2024-11-25 21:44:45",0,7.72
"2024-11-25 21:44:45",0,7.72
"2024-11-25 21:44:45",0,7.69
"2024-11-25 21:44:46",0,7.66
"2024-11-25 21:44:47",0,7.63
"2024-11-25 21:44:49",0,7.69
"2024-11-25 21:44:51",0,7.69
"2024-11-25 21:44:53",0,7.63
"2024-11-25 21:44:54",0,7.66
"2024-11-25 21:44:56",0,7.66
"2024-11-25 21:44:58",0,7.63
"2024-11-25 21:44:59",0,7.63
"2024-11-25 21:45:01",0,7.66
"2024-11-25 21:45:03",0,7.6
"2024-11-25 21:45:05",0,7.63
"2024-11-25 21:45:07",0,7.63
"2024-11-25 21:45:27",0,7.63
"2024-11-25 21:45:27",0,7.6
"2024-11-25 21:45:29",0,7.53
"2024-11-25 21:45:31",0,7.56
"2024-11-25 21:45:33",0,7.56
"2024-11-25 21:45:34",0,7.56
"2024-11-25 21:45:36",0,7.56
"2024-11-25 21:45:38",0,7.53
"2024-11-25 21:45:40",0,7.6
"2024-11-25 21:45:41",0,7.5
"2024-11-25 21:45:43",0,7.53
"2024-11-25 21:45:45",0,7.6
"2024-11-25 21:45:47",0,7.56
"2024-11-25 21:45:48",0,7.6
"2024-11-25 21:45:50",0,7.5
"2024-11-25 21:45:52",0,7.47
"2024-11-25 21:45:54",0,7.63
"2024-11-25 21:45:55",0,7.53
"2024-11-25 21:45:57",0,7.47
"2024-11-25 21:45:59",0,7.53
"2024-11-25 21:46:01",0,7.53
"2024-11-25 21:46:02",0,7.56
"2024-11-25 21:46:04",0,7.5
"2024-11-25 21:46:06",0,7.5
"2024-11-25 21:46:48",0,7.53
"2024-11-25 21:46:48",0,7.5
"2024-11-25 21:46:49",0,7.47
"2024-11-25 21:46:51",0,7.53
"2024-11-25 21:46:53",0,7.56
"2024-11-25 21:46:55",0,7.56
"2024-11-25 21:46:56",0,7.53
"2024-11-25 21:46:58",0,7.53
"2024-11-25 21:47:00",0,7.53
"2024-11-25 21:47:01",0,7.53
"2024-11-25 21:47:03",0,7.47
"2024-11-25 21:47:05",0,7.53
"2024-11-25 21:47:07",0,7.53
"2024-11-25 21:47:08",0,7.53
"2024-11-25 21:47:10",0,7.5
"2024-11-25 21:47:28",0,7.44
"2024-11-25 21:47:28",0,7.47
"2024-11-25 21:47:29",0,7.47
"2024-11-25 21:47:31",0,7.47
"2024-11-25 21:47:33",0,7.44
"2024-11-25 21:47:34",0,7.47
"2024-11-25 21:47:36",0,7.5
"2024-11-25 21:47:38",0,7.5
"2024-11-25 21:47:40",0,7.47
"2024-11-25 21:47:41",0,7.47
"2024-11-25 21:47:43",0,7.47
"2024-11-25 21:47:45",0,7.47
"2024-11-25 21:47:47",0,7.47
"2024-11-25 21:47:48",0,7.5
"2024-11-25 21:47:50",0,7.47
"2024-11-25 21:47:52",0,7.47
"2024-11-25 21:47:54",0,7.47
"2024-11-25 21:47:55",0,7.47
"2024-11-25 21:47:57",0,7.5
"2024-11-25 21:47:59",0,7.56
"2024-11-25 21:48:00",0,7.47
"2024-11-25 21:48:02",0,7.47
"2024-11-25 21:48:04",0,7.41
"2024-11-25 21:48:06",0,7.5
"2024-11-25 21:48:07",0,7.44
"2024-11-25 21:48:09",0,7.53
"2024-11-25 21:48:11",0,7.44
"2024-11-25 21:48:13",0,7.47
"2024-11-25 21:48:14",0,7.5
"2024-11-25 21:48:16",0,7.47
"2024-11-25 21:48:18",0,7.5
"2024-11-25 21:48:20",0,7.44
"2024-11-25 21:48:21",0,7.41
"2024-11-25 21:48:23",0,7.44
"2024-11-25 21:48:25",0,7.5
"2024-11-25 21:48:26",0,7.47
"2024-11-25 21:48:28",0,7.41
"2024-11-25 21:48:30",0,7.44
"2024-11-25 21:48:32",0,7.53
"2024-11-25 21:48:33",0,7.47
"2024-11-25 21:48:35",0,7.44
"2024-11-25 21:48:37",0,7.5
"2024-11-25 21:48:39",0,7.5
"2024-11-25 21:48:40",0,7.5
"2024-11-25 21:48:42",0,7.47
"2024-11-25 21:48:44",0,7.44
"2024-11-25 21:48:46",0,7.47
"2024-11-25 21:48:47",0,7.44
"2024-11-25 21:48:49",0,7.41
"2024-11-25 21:48:51",0,7.47
"2024-11-25 21:48:53",0,7.47
"2024-11-25 21:48:54",0,7.37
"2024-11-25 21:48:56",0,7.41
"2024-11-25 21:48:58",0,7.47
"2024-11-25 21:49:00",0,7.44
"2024-11-25 21:49:01",0,7.44
"2024-11-25 21:49:03",0,7.47
"2024-11-25 21:49:05",0,7.47
"2024-11-25 21:49:06",0,7.37
"2024-11-25 21:49:08",0,7.47
"2024-11-25 21:49:10",0,7.47
"2024-11-25 21:49:12",0,7.44
"2024-11-25 21:49:13",0,7.47
"2024-11-25 21:49:15",0,7.41
"2024-11-25 21:49:17",0,7.41
"2024-11-25 21:49:19",0,7.41
"2024-11-25 21:49:20",0,7.44
"2024-11-25 21:49:22",0,7.37
"2024-11-25 21:49:24",0,7.44
"2024-11-25 21:49:26",0,7.47
"2024-11-25 21:49:27",0,7.47
"2024-11-25 21:49:29",0,7.47
"2024-11-25 21:49:31",0,7.41
"2024-11-25 21:49:33",0,7.41
"2024-11-25 21:49:34",0,7.44
"2024-11-25 21:49:36",0,7.5
"2024-11-25 21:49:38",0,7.44
"2024-11-25 21:49:39",0,7.41
"2024-11-25 21:49:41",0,7.47
"2024-11-25 21:49:43",0,7.44
"2024-11-25 21:49:45",0,7.44
"2024-11-25 21:49:46",0,7.41
"2024-11-25 21:49:48",0,7.41
"2024-11-25 21:49:50",0,7.44
"2024-11-25 21:49:52",0,7.44
"2024-11-25 21:49:53",0,7.47
"2024-11-25 21:49:55",0,7.41
"2024-11-25 21:49:57",0,7.47
"2024-11-25 21:49:59",0,7.44
"2024-11-25 21:50:00",0,7.37
"2024-11-25 21:50:02",0,7.44
"2024-11-25 21:50:04",0,7.44
"2024-11-25 21:50:06",0,7.47
"2024-11-25 21:50:07",0,7.44
"2024-11-25 21:50:09",0,7.37
"2024-11-25 21:50:11",0,7.47
"2024-11-25 21:50:12",0,7.41
"2024-11-25 21:50:14",0,7.41
"2024-11-25 21:50:16",0,7.31
"2024-11-25 21:50:18",0,7.44
"2024-11-25 21:50:19",0,7.44
"2024-11-25 21:50:21",0,7.44
"2024-11-25 21:50:23",0,7.44
"2024-11-25 21:50:25",0,7.37
"2024-11-25 21:50:26",0,7.37
"2024-11-25 21:50:28",0,7.41
"2024-11-25 21:50:30",0,7.37
"2024-11-25 21:50:32",0,7.44
"2024-11-25 21:50:33",0,7.41
"2024-11-25 21:50:35",0,7.34
"2024-11-25 21:50:37",0,7.34
"2024-11-25 21:50:39",0,7.44
"2024-11-25 21:50:40",0,7.41
"2024-11-25 21:50:42",0,7.47
"2024-11-25 21:50:44",0,7.44
"2024-11-25 21:50:46",0,7.47
"2024-11-25 21:50:47",0,7.44
"2024-11-25 21:50:49",0,7.44
"2024-11-25 21:50:51",0,7.44
"2024-11-25 21:50:52",0,7.44
"2024-11-25 21:50:54",0,7.44
"2024-11-25 21:50:56",0,7.41
"2024-11-25 21:50:58",0,7.37
"2024-11-25 21:50:59",0,7.44
"2024-11-25 21:51:01",0,7.44
"2024-11-25 21:51:03",0,7.41
"2024-11-25 21:51:05",0,7.41
"2024-11-25 21:51:06",0,7.47
"2024-11-25 21:51:08",0,7.44
"2024-11-25 21:51:10",0,7.41
"2024-11-25 21:51:12",0,7.41
"2024-11-25 21:51:13",0,7.37
"2024-11-25 21:51:15",0,7.5
"2024-11-25 21:51:17",0,7.47
